name,description
ADVANCE_WP2_IND-450-FullTech,"ADVANCE_WP2_IND-450-FullTech represents a pathway influenced by global dynamics across society, technology, and policy systems. It continues by examining how emissions shift under differing mitigation intensities and climate targets, with outcomes shaped by the uptake of clean technologies, shifting market signals, and institutional decisions. Keywords: 450, advance, carbon budget 450, climate scenario, emission target 450, emissions pathway, energy transition, fulltech, global model scenario, ind, mitigation pathway, policy scenario, technology scenario, wp2"
ADVANCE_WP2_IND-Base-FullTech,"ADVANCE_WP2_IND-Base-FullTech envisions a future defined by changing priorities in sustainability, development, and resource use. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, and reflects the combined influence of technological change, resource availability, and policy direction. Keywords: advance, base, climate scenario, emissions pathway, energy transition, fulltech, global model scenario, ind, mitigation pathway, policy scenario, technology scenario, wp2"
ADVANCE_WP2_TRA-450-FullTech,"ADVANCE_WP2_TRA-450-FullTech illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by analyzing the progression of global warming outcomes under its particular policy and technology mix, with outcomes shaped by the uptake of clean technologies, shifting market signals, and institutional decisions. Keywords: 450, advance, carbon budget 450, climate scenario, emission target 450, emissions pathway, energy transition, fulltech, global model scenario, mitigation pathway, policy scenario, technology scenario, tra, wp2"
ADVANCE_WP2_TRA-Base-FullTech,"ADVANCE_WP2_TRA-Base-FullTech portrays an evolving global landscape shaped by shifting economic, social, and environmental pressures. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: advance, base, climate scenario, emissions pathway, energy transition, fulltech, global model scenario, mitigation pathway, policy scenario, technology scenario, tra, wp2"
ADVANCE_WP2_TRA-Ctax-FullTech,"ADVANCE_WP2_TRA-Ctax-FullTech illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by exploring alternative decarbonization speeds and atmospheric concentration pathways, where energy transitions, behavioral responses, and policy measures collectively determine system evolution. Keywords: advance, climate scenario, ctax, emissions pathway, energy transition, fulltech, global model scenario, mitigation pathway, policy scenario, technology scenario, tra, wp2"
EN_INDCi2030_1000f,"EN_INDCi2030_1000f envisions a future defined by changing priorities in sustainability, development, and resource use. It continues by examining how emissions shift under differing mitigation intensities and climate targets, and reflects the combined influence of technological change, resource availability, and policy direction. Keywords: 1000f, climate scenario, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, paris pledges, policy scenario, technology scenario"
EN_INDCi2030_1200,"EN_INDCi2030_1200 illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by exploring alternative decarbonization speeds and atmospheric concentration pathways, with outcomes shaped by the uptake of clean technologies, shifting market signals, and institutional decisions. Keywords: 1200, carbon budget 1200, climate scenario, emission target 1200, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, paris pledges, policy scenario, technology scenario"
EN_INDCi2030_1200f,"EN_INDCi2030_1200f envisions a future defined by changing priorities in sustainability, development, and resource use. It continues by capturing how greenhouse‑gas trajectories evolve in response to varied ambition levels, with outcomes shaped by the uptake of clean technologies, shifting market signals, and institutional decisions. Keywords: 1200f, climate scenario, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, paris pledges, policy scenario, technology scenario"
EN_INDCi2030_1400,"EN_INDCi2030_1400 envisions a future defined by changing priorities in sustainability, development, and resource use. It continues by analyzing the progression of global warming outcomes under its particular policy and technology mix, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: 1400, carbon budget 1400, climate scenario, emission target 1400, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, paris pledges, policy scenario, technology scenario"
EN_INDCi2030_1400f,"EN_INDCi2030_1400f describes a future shaped by complex interactions between development patterns and climate challenges. It continues by analyzing the progression of global warming outcomes under its particular policy and technology mix, with outcomes shaped by the uptake of clean technologies, shifting market signals, and institutional decisions. Keywords: 1400f, climate scenario, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, paris pledges, policy scenario, technology scenario"
EN_INDCi2030_1600,"EN_INDCi2030_1600 illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by exploring alternative decarbonization speeds and atmospheric concentration pathways, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: 1600, carbon budget 1600, climate scenario, emission target 1600, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, paris pledges, policy scenario, technology scenario"
EN_INDCi2030_1600f,"EN_INDCi2030_1600f represents a pathway influenced by global dynamics across society, technology, and policy systems. It continues by examining how emissions shift under differing mitigation intensities and climate targets, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: 1600f, climate scenario, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, paris pledges, policy scenario, technology scenario"
EN_INDCi2030_1800,"EN_INDCi2030_1800 represents a pathway influenced by global dynamics across society, technology, and policy systems. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, where energy transitions, behavioral responses, and policy measures collectively determine system evolution. Keywords: 1800, carbon budget 1800, climate scenario, emission target 1800, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, paris pledges, policy scenario, technology scenario"
EN_INDCi2030_1800f,"EN_INDCi2030_1800f represents a pathway influenced by global dynamics across society, technology, and policy systems. It continues by analyzing the progression of global warming outcomes under its particular policy and technology mix, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: 1800f, climate scenario, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, paris pledges, policy scenario, technology scenario"
EN_INDCi2030_800f,"EN_INDCi2030_800f portrays an evolving global landscape shaped by shifting economic, social, and environmental pressures. It continues by analyzing the progression of global warming outcomes under its particular policy and technology mix, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: 800f, climate scenario, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, paris pledges, policy scenario, technology scenario"
EN_INDCi2030_900f,"EN_INDCi2030_900f describes a future shaped by complex interactions between development patterns and climate challenges. It continues by examining how emissions shift under differing mitigation intensities and climate targets, and integrates sector‑specific transformations spanning power, transport, industry, and land systems. Keywords: 900f, climate scenario, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, paris pledges, policy scenario, technology scenario"
EN_INDCi2100,"EN_INDCi2100 describes a future shaped by complex interactions between development patterns and climate challenges. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, where energy transitions, behavioral responses, and policy measures collectively determine system evolution. Keywords: climate scenario, emissions pathway, en, energy transition, global model scenario, indci2100, mitigation pathway, national climate commitment, paris pledges, policy scenario, technology scenario"
EN_NPi2020_1000,"EN_NPi2020_1000 represents a pathway influenced by global dynamics across society, technology, and policy systems. It continues by capturing how greenhouse‑gas trajectories evolve in response to varied ambition levels, with outcomes shaped by the uptake of clean technologies, shifting market signals, and institutional decisions. Keywords: 1000, carbon budget 1000, climate scenario, emission target 1000, emissions pathway, en, energy transition, global model scenario, mitigation pathway, npi2020, policy scenario, technology scenario"
EN_NPi2020_1000f,"EN_NPi2020_1000f illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by analyzing the progression of global warming outcomes under its particular policy and technology mix, with outcomes shaped by the uptake of clean technologies, shifting market signals, and institutional decisions. Keywords: 1000f, climate scenario, emissions pathway, en, energy transition, global model scenario, mitigation pathway, npi2020, policy scenario, technology scenario"
EN_NPi2020_1200,"EN_NPi2020_1200 envisions a future defined by changing priorities in sustainability, development, and resource use. It continues by capturing how greenhouse‑gas trajectories evolve in response to varied ambition levels, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: 1200, carbon budget 1200, climate scenario, emission target 1200, emissions pathway, en, energy transition, global model scenario, mitigation pathway, npi2020, policy scenario, technology scenario"
EN_NPi2020_1200f,"EN_NPi2020_1200f portrays an evolving global landscape shaped by shifting economic, social, and environmental pressures. It continues by exploring alternative decarbonization speeds and atmospheric concentration pathways, where energy transitions, behavioral responses, and policy measures collectively determine system evolution. Keywords: 1200f, climate scenario, emissions pathway, en, energy transition, global model scenario, mitigation pathway, npi2020, policy scenario, technology scenario"
EN_NPi2020_1400,"EN_NPi2020_1400 envisions a future defined by changing priorities in sustainability, development, and resource use. It continues by analyzing the progression of global warming outcomes under its particular policy and technology mix, and reflects the combined influence of technological change, resource availability, and policy direction. Keywords: 1400, carbon budget 1400, climate scenario, emission target 1400, emissions pathway, en, energy transition, global model scenario, mitigation pathway, npi2020, policy scenario, technology scenario"
EN_NPi2020_1400f,"EN_NPi2020_1400f envisions a future defined by changing priorities in sustainability, development, and resource use. It continues by exploring alternative decarbonization speeds and atmospheric concentration pathways, with outcomes shaped by the uptake of clean technologies, shifting market signals, and institutional decisions. Keywords: 1400f, climate scenario, emissions pathway, en, energy transition, global model scenario, mitigation pathway, npi2020, policy scenario, technology scenario"
EN_NPi2020_1600,"EN_NPi2020_1600 describes a future shaped by complex interactions between development patterns and climate challenges. It continues by capturing how greenhouse‑gas trajectories evolve in response to varied ambition levels, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: 1600, carbon budget 1600, climate scenario, emission target 1600, emissions pathway, en, energy transition, global model scenario, mitigation pathway, npi2020, policy scenario, technology scenario"
EN_NPi2020_1600f,"EN_NPi2020_1600f represents a pathway influenced by global dynamics across society, technology, and policy systems. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, where energy transitions, behavioral responses, and policy measures collectively determine system evolution. Keywords: 1600f, climate scenario, emissions pathway, en, energy transition, global model scenario, mitigation pathway, npi2020, policy scenario, technology scenario"
EN_NPi2020_1800,"EN_NPi2020_1800 portrays an evolving global landscape shaped by shifting economic, social, and environmental pressures. It continues by examining how emissions shift under differing mitigation intensities and climate targets, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: 1800, carbon budget 1800, climate scenario, emission target 1800, emissions pathway, en, energy transition, global model scenario, mitigation pathway, npi2020, policy scenario, technology scenario"
EN_NPi2020_1800f,"EN_NPi2020_1800f envisions a future defined by changing priorities in sustainability, development, and resource use. It continues by capturing how greenhouse‑gas trajectories evolve in response to varied ambition levels, and integrates sector‑specific transformations spanning power, transport, industry, and land systems. Keywords: 1800f, climate scenario, emissions pathway, en, energy transition, global model scenario, mitigation pathway, npi2020, policy scenario, technology scenario"
EN_NPi2020_300f,"EN_NPi2020_300f envisions a future defined by changing priorities in sustainability, development, and resource use. It continues by exploring alternative decarbonization speeds and atmospheric concentration pathways, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: 300f, climate scenario, emissions pathway, en, energy transition, global model scenario, mitigation pathway, npi2020, policy scenario, technology scenario"
EN_NPi2020_400f,"EN_NPi2020_400f describes a future shaped by complex interactions between development patterns and climate challenges. It continues by exploring alternative decarbonization speeds and atmospheric concentration pathways, and integrates sector‑specific transformations spanning power, transport, industry, and land systems. Keywords: 400f, climate scenario, emissions pathway, en, energy transition, global model scenario, mitigation pathway, npi2020, policy scenario, technology scenario"
EN_NPi2020_500f,"EN_NPi2020_500f envisions a future defined by changing priorities in sustainability, development, and resource use. It continues by examining how emissions shift under differing mitigation intensities and climate targets, where energy transitions, behavioral responses, and policy measures collectively determine system evolution. Keywords: 500f, climate scenario, emissions pathway, en, energy transition, global model scenario, mitigation pathway, npi2020, policy scenario, technology scenario"
EN_NPi2020_600,"EN_NPi2020_600 illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, where energy transitions, behavioral responses, and policy measures collectively determine system evolution. Keywords: 600, carbon budget 600, climate scenario, emission target 600, emissions pathway, en, energy transition, global model scenario, mitigation pathway, npi2020, policy scenario, technology scenario"
EN_NPi2020_600f,"EN_NPi2020_600f represents a pathway influenced by global dynamics across society, technology, and policy systems. It continues by capturing how greenhouse‑gas trajectories evolve in response to varied ambition levels, with outcomes shaped by the uptake of clean technologies, shifting market signals, and institutional decisions. Keywords: 600f, climate scenario, emissions pathway, en, energy transition, global model scenario, mitigation pathway, npi2020, policy scenario, technology scenario"
EN_NPi2020_700,"EN_NPi2020_700 describes a future shaped by complex interactions between development patterns and climate challenges. It continues by examining how emissions shift under differing mitigation intensities and climate targets, where energy transitions, behavioral responses, and policy measures collectively determine system evolution. Keywords: 700, carbon budget 700, climate scenario, emission target 700, emissions pathway, en, energy transition, global model scenario, mitigation pathway, npi2020, policy scenario, technology scenario"
EN_NPi2020_700f,"EN_NPi2020_700f illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by analyzing the progression of global warming outcomes under its particular policy and technology mix, and integrates sector‑specific transformations spanning power, transport, industry, and land systems. Keywords: 700f, climate scenario, emissions pathway, en, energy transition, global model scenario, mitigation pathway, npi2020, policy scenario, technology scenario"
EN_NPi2020_800,"EN_NPi2020_800 describes a future shaped by complex interactions between development patterns and climate challenges. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: 800, carbon budget 800, climate scenario, emission target 800, emissions pathway, en, energy transition, global model scenario, mitigation pathway, npi2020, policy scenario, technology scenario"
EN_NPi2020_800f,"EN_NPi2020_800f envisions a future defined by changing priorities in sustainability, development, and resource use. It continues by analyzing the progression of global warming outcomes under its particular policy and technology mix, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: 800f, climate scenario, emissions pathway, en, energy transition, global model scenario, mitigation pathway, npi2020, policy scenario, technology scenario"
EN_NPi2020_900,"EN_NPi2020_900 illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by examining how emissions shift under differing mitigation intensities and climate targets, and integrates sector‑specific transformations spanning power, transport, industry, and land systems. Keywords: 900, carbon budget 900, climate scenario, emission target 900, emissions pathway, en, energy transition, global model scenario, mitigation pathway, npi2020, policy scenario, technology scenario"
EN_NPi2020_900f,"EN_NPi2020_900f portrays an evolving global landscape shaped by shifting economic, social, and environmental pressures. It continues by examining how emissions shift under differing mitigation intensities and climate targets, with outcomes shaped by the uptake of clean technologies, shifting market signals, and institutional decisions. Keywords: 900f, climate scenario, emissions pathway, en, energy transition, global model scenario, mitigation pathway, npi2020, policy scenario, technology scenario"
EN_NPi2100,"EN_NPi2100 illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by capturing how greenhouse‑gas trajectories evolve in response to varied ambition levels, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: climate scenario, emissions pathway, en, energy transition, global model scenario, mitigation pathway, npi2100, policy scenario, technology scenario"
CO_2Deg2020,"CO_2Deg2020 portrays an evolving global landscape shaped by shifting economic, social, and environmental pressures. It continues by examining how emissions shift under differing mitigation intensities and climate targets, with outcomes shaped by the uptake of clean technologies, shifting market signals, and institutional decisions. Keywords: 2deg2020, climate scenario, co, emissions pathway, energy transition, global model scenario, mitigation pathway, policy scenario, technology scenario"
CO_2Deg2030,"CO_2Deg2030 portrays an evolving global landscape shaped by shifting economic, social, and environmental pressures. It continues by capturing how greenhouse‑gas trajectories evolve in response to varied ambition levels, and integrates sector‑specific transformations spanning power, transport, industry, and land systems. Keywords: 2deg2030, climate scenario, co, emissions pathway, energy transition, global model scenario, mitigation pathway, policy scenario, technology scenario"
CO_BAU,"CO_BAU envisions a future defined by changing priorities in sustainability, development, and resource use. It continues by examining how emissions shift under differing mitigation intensities and climate targets, with outcomes shaped by the uptake of clean technologies, shifting market signals, and institutional decisions. Keywords: baseline scenario, bau, business as usual, climate scenario, co, emissions pathway, energy transition, global model scenario, mitigation pathway, policy scenario, technology scenario"
CO_Bridge,"CO_Bridge represents a pathway influenced by global dynamics across society, technology, and policy systems. It continues by examining how emissions shift under differing mitigation intensities and climate targets, where energy transitions, behavioral responses, and policy measures collectively determine system evolution. Keywords: bridge, climate scenario, co, emissions pathway, energy transition, global model scenario, mitigation pathway, policy scenario, technology scenario"
CO_CurPol,"CO_CurPol represents a pathway influenced by global dynamics across society, technology, and policy systems. It continues by capturing how greenhouse‑gas trajectories evolve in response to varied ambition levels, with outcomes shaped by the uptake of clean technologies, shifting market signals, and institutional decisions. Keywords: climate scenario, co, curpol, current policies, emissions pathway, energy transition, global model scenario, mitigation pathway, policy continuation, policy scenario, technology scenario"
CO_GPP,"CO_GPP illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by examining how emissions shift under differing mitigation intensities and climate targets, where energy transitions, behavioral responses, and policy measures collectively determine system evolution. Keywords: climate scenario, co, emissions pathway, energy transition, global model scenario, gpp, mitigation pathway, policy scenario, technology scenario"
CO_NDCplus,"CO_NDCplus envisions a future defined by changing priorities in sustainability, development, and resource use. It continues by exploring alternative decarbonization speeds and atmospheric concentration pathways, where energy transitions, behavioral responses, and policy measures collectively determine system evolution. Keywords: climate scenario, co, emissions pathway, energy transition, global model scenario, mitigation pathway, national climate commitment, ndcplus, paris pledges, policy scenario, technology scenario"
EN_INDCi2030_1000,"EN_INDCi2030_1000 illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by exploring alternative decarbonization speeds and atmospheric concentration pathways, with outcomes shaped by the uptake of clean technologies, shifting market signals, and institutional decisions. Keywords: 1000, carbon budget 1000, climate scenario, emission target 1000, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, paris pledges, policy scenario, technology scenario"
EN_INDCi2030_1000_COV_NDCp,"EN_INDCi2030_1000_COV_NDCp illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by capturing how greenhouse‑gas trajectories evolve in response to varied ambition levels, and integrates sector‑specific transformations spanning power, transport, industry, and land systems. Keywords: 1000, carbon budget 1000, climate scenario, cov, emission target 1000, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, ndcp, paris pledges, policy scenario, technology scenario"
EN_INDCi2030_1000_NDCp,"EN_INDCi2030_1000_NDCp describes a future shaped by complex interactions between development patterns and climate challenges. It continues by analyzing the progression of global warming outcomes under its particular policy and technology mix, where energy transitions, behavioral responses, and policy measures collectively determine system evolution. Keywords: 1000, carbon budget 1000, climate scenario, emission target 1000, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, ndcp, paris pledges, policy scenario, technology scenario"
EN_INDCi2030_1000f_COV_NDCp,"EN_INDCi2030_1000f_COV_NDCp portrays an evolving global landscape shaped by shifting economic, social, and environmental pressures. It continues by analyzing the progression of global warming outcomes under its particular policy and technology mix, where energy transitions, behavioral responses, and policy measures collectively determine system evolution. Keywords: 1000f, climate scenario, cov, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, ndcp, paris pledges, policy scenario, technology scenario"
EN_INDCi2030_1000f_NDCp,"EN_INDCi2030_1000f_NDCp illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by analyzing the progression of global warming outcomes under its particular policy and technology mix, with outcomes shaped by the uptake of clean technologies, shifting market signals, and institutional decisions. Keywords: 1000f, climate scenario, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, ndcp, paris pledges, policy scenario, technology scenario"
EN_INDCi2030_2000,"EN_INDCi2030_2000 describes a future shaped by complex interactions between development patterns and climate challenges. It continues by examining how emissions shift under differing mitigation intensities and climate targets, and reflects the combined influence of technological change, resource availability, and policy direction. Keywords: 2000, carbon budget 2000, climate scenario, emission target 2000, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, paris pledges, policy scenario, technology scenario"
EN_INDCi2030_2000f,"EN_INDCi2030_2000f illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, with outcomes shaped by the uptake of clean technologies, shifting market signals, and institutional decisions. Keywords: 2000f, climate scenario, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, paris pledges, policy scenario, technology scenario"
EN_INDCi2030_2500,"EN_INDCi2030_2500 illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by analyzing the progression of global warming outcomes under its particular policy and technology mix, and reflects the combined influence of technological change, resource availability, and policy direction. Keywords: 2500, carbon budget 2500, climate scenario, emission target 2500, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, paris pledges, policy scenario, technology scenario"
EN_INDCi2030_2500f,"EN_INDCi2030_2500f portrays an evolving global landscape shaped by shifting economic, social, and environmental pressures. It continues by analyzing the progression of global warming outcomes under its particular policy and technology mix, with outcomes shaped by the uptake of clean technologies, shifting market signals, and institutional decisions. Keywords: 2500f, climate scenario, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, paris pledges, policy scenario, technology scenario"
EN_INDCi2030_400f,"EN_INDCi2030_400f describes a future shaped by complex interactions between development patterns and climate challenges. It continues by examining how emissions shift under differing mitigation intensities and climate targets, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: 400f, climate scenario, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, paris pledges, policy scenario, technology scenario"
EN_INDCi2030_500,"EN_INDCi2030_500 describes a future shaped by complex interactions between development patterns and climate challenges. It continues by exploring alternative decarbonization speeds and atmospheric concentration pathways, and reflects the combined influence of technological change, resource availability, and policy direction. Keywords: 500, carbon budget 500, climate scenario, emission target 500, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, paris pledges, policy scenario, technology scenario"
EN_INDCi2030_500f,"EN_INDCi2030_500f portrays an evolving global landscape shaped by shifting economic, social, and environmental pressures. It continues by examining how emissions shift under differing mitigation intensities and climate targets, and integrates sector‑specific transformations spanning power, transport, industry, and land systems. Keywords: 500f, climate scenario, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, paris pledges, policy scenario, technology scenario"
EN_INDCi2030_600,"EN_INDCi2030_600 illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by analyzing the progression of global warming outcomes under its particular policy and technology mix, with outcomes shaped by the uptake of clean technologies, shifting market signals, and institutional decisions. Keywords: 600, carbon budget 600, climate scenario, emission target 600, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, paris pledges, policy scenario, technology scenario"
EN_INDCi2030_600_COV_NDCp,"EN_INDCi2030_600_COV_NDCp represents a pathway influenced by global dynamics across society, technology, and policy systems. It continues by analyzing the progression of global warming outcomes under its particular policy and technology mix, with outcomes shaped by the uptake of clean technologies, shifting market signals, and institutional decisions. Keywords: 600, carbon budget 600, climate scenario, cov, emission target 600, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, ndcp, paris pledges, policy scenario, technology scenario"
EN_INDCi2030_600_NDCp,"EN_INDCi2030_600_NDCp illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by exploring alternative decarbonization speeds and atmospheric concentration pathways, and reflects the combined influence of technological change, resource availability, and policy direction. Keywords: 600, carbon budget 600, climate scenario, emission target 600, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, ndcp, paris pledges, policy scenario, technology scenario"
EN_INDCi2030_600f,"EN_INDCi2030_600f portrays an evolving global landscape shaped by shifting economic, social, and environmental pressures. It continues by analyzing the progression of global warming outcomes under its particular policy and technology mix, with outcomes shaped by the uptake of clean technologies, shifting market signals, and institutional decisions. Keywords: 600f, climate scenario, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, paris pledges, policy scenario, technology scenario"
EN_INDCi2030_600f_COV_NDCp,"EN_INDCi2030_600f_COV_NDCp portrays an evolving global landscape shaped by shifting economic, social, and environmental pressures. It continues by analyzing the progression of global warming outcomes under its particular policy and technology mix, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: 600f, climate scenario, cov, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, ndcp, paris pledges, policy scenario, technology scenario"
